iter	Accuracy	MultiClass
0	0.4629178658	1.367321024
1	0.4859419969	1.346034095
2	0.4890413992	1.327094098
3	0.4996679212	1.310715475
4	0.5001106929	1.295897046
5	0.4967899048	1.281818429
6	0.5007748506	1.269201959
7	0.5027673234	1.257788547
8	0.4992251494	1.24823696
9	0.5014390082	1.238904248
10	0.5069736551	1.23047458
11	0.5083019703	1.222648236
12	0.5087447421	1.215575468
13	0.5023245517	1.209020928
14	0.5102944432	1.201495674
15	0.5129510737	1.196223286
16	0.5118441443	1.190817543
17	0.5118441443	1.18458399
18	0.5114013726	1.179636078
19	0.5122869161	1.174554026
20	0.512508302	1.170026978
21	0.5118441443	1.166310987
22	0.5133938455	1.161548495
23	0.5122869161	1.15833974
24	0.5133938455	1.155531119
25	0.5102944432	1.152111094
26	0.5138366172	1.149115928
27	0.5120655302	1.146243169
28	0.5122869161	1.142853732
29	0.5131724596	1.139549607
30	0.5140580031	1.137289641
31	0.5164932477	1.134659166
32	0.5158290901	1.132545081
33	0.5153863184	1.130326663
34	0.5167146336	1.128045492
35	0.5180429489	1.126381543
36	0.517821563	1.123726451
37	0.5202568076	1.12140178
38	0.5184857206	1.119662739
39	0.5191498782	1.117428377
40	0.5184857206	1.115571147
41	0.517821563	1.114755592
42	0.5202568076	1.113400172
43	0.5218065087	1.111966089
44	0.521363737	1.110440169
45	0.5215851229	1.10902955
46	0.5202568076	1.107433508
47	0.521363737	1.10611862
48	0.521363737	1.105111996
49	0.5206995794	1.103547593
50	0.5215851229	1.102616173
51	0.5211423511	1.100912732
52	0.5229134381	1.099562961
53	0.5220278946	1.098810744
54	0.5229134381	1.097719951
55	0.5222492805	1.096484824
56	0.5233562099	1.095284591
57	0.5224706664	1.094276641
58	0.5220278946	1.093327447
59	0.5222492805	1.092339647
60	0.524905911	1.091593499
61	0.5244631393	1.090178367
62	0.5237989816	1.089412333
63	0.524905911	1.088837686
64	0.5257914545	1.087961308
65	0.5253486828	1.086700998
66	0.5264556121	1.08590696
67	0.5264556121	1.085018586
68	0.5271197698	1.084024912
69	0.5273411556	1.083259305
70	0.5288908568	1.082616956
71	0.5299977861	1.08183391
72	0.5308833296	1.081175798
73	0.5304405579	1.080788279
74	0.530219172	1.079982108
75	0.530219172	1.079617396
76	0.5306619438	1.078631648
77	0.5306619438	1.077932812
78	0.5322116449	1.077172825
79	0.5315474873	1.076391572
80	0.5324330308	1.07610546
81	0.531990259	1.075461354
82	0.5333185743	1.075174
83	0.5330971884	1.073988765
84	0.533761346	1.073638155
85	0.5350896613	1.072892
86	0.5353110472	1.072667161
87	0.5335399602	1.071899248
88	0.5330971884	1.070985086
89	0.5328758025	1.069893199
90	0.5324330308	1.069660949
91	0.5339827319	1.069039295
92	0.5342041178	1.068732798
93	0.5344255037	1.068474461
94	0.5350896613	1.067870029
95	0.5344255037	1.067402404
96	0.5333185743	1.066698787
97	0.5339827319	1.066170302
98	0.5335399602	1.065813485
99	0.5339827319	1.06552729
100	0.5348682754	1.064996394
101	0.5350896613	1.064614493
102	0.5344255037	1.064450683
103	0.5350896613	1.063743525
104	0.5346468895	1.063433128
105	0.5344255037	1.062798987
106	0.5350896613	1.062295576
107	0.5353110472	1.062167566
108	0.5359752048	1.061926131
109	0.535532433	1.061651685
110	0.535532433	1.06100879
111	0.5353110472	1.060739199
112	0.5348682754	1.060351828
113	0.5357538189	1.059618802
114	0.5357538189	1.059337707
115	0.5361965907	1.059173688
116	0.5366393624	1.058795215
117	0.5366393624	1.058795193
118	0.5386318353	1.058143491
119	0.5379676777	1.057559689
120	0.5386318353	1.057118356
121	0.5392959929	1.056792307
122	0.5386318353	1.056680206
123	0.5392959929	1.056492971
124	0.5386318353	1.055951425
125	0.5381890635	1.05568247
126	0.5379676777	1.055399603
127	0.5381890635	1.055217494
128	0.5381890635	1.054745403
