iter	Passed	Remaining
0	150	75206
1	174	43356
2	195	32409
3	213	26492
4	233	23067
5	252	20776
6	272	19200
7	290	17876
8	308	16804
9	325	15938
10	342	15238
11	360	14665
12	379	14227
13	397	13807
14	416	13454
15	434	13132
16	452	12847
17	471	12621
18	489	12390
19	508	12195
20	529	12067
21	547	11900
22	566	11744
23	585	11606
24	602	11452
25	621	11329
26	640	11225
27	660	11127
28	678	11022
29	697	10933
30	716	10841
31	735	10763
32	754	10677
33	773	10595
34	793	10542
35	812	10467
36	831	10401
37	851	10352
38	873	10324
39	893	10280
40	913	10224
41	927	10109
42	944	10037
43	962	9971
44	980	9915
45	1000	9870
46	1019	9829
47	1040	9794
48	1059	9751
49	1079	9711
50	1097	9663
51	1116	9619
52	1135	9578
53	1154	9531
54	1173	9491
55	1191	9443
56	1209	9400
57	1229	9367
58	1247	9325
59	1266	9285
60	1284	9246
61	1305	9220
62	1324	9186
63	1345	9166
64	1366	9143
65	1385	9113
66	1404	9078
67	1423	9040
68	1440	8998
69	1458	8958
70	1478	8932
71	1497	8900
72	1516	8873
73	1535	8841
74	1557	8824
75	1575	8791
76	1595	8762
77	1614	8736
78	1634	8711
79	1654	8684
80	1672	8651
81	1691	8624
82	1711	8597
83	1731	8574
84	1750	8547
85	1770	8524
86	1791	8503
87	1810	8477
88	1828	8445
89	1847	8414
90	1866	8389
91	1886	8366
92	1905	8341
93	1927	8324
94	1947	8301
95	1966	8273
96	1986	8252
97	2008	8240
98	2029	8218
99	2047	8191
100	2066	8162
101	2088	8149
102	2107	8121
103	2126	8097
104	2144	8068
105	2164	8045
106	2184	8024
107	2204	8002
108	2234	8014
109	2252	7987
110	2272	7962
111	2291	7938
112	2310	7913
113	2331	7895
114	2350	7868
115	2368	7839
116	2386	7813
117	2393	7749
118	2414	7729
119	2433	7706
120	2452	7680
121	2472	7659
122	2491	7637
123	2511	7615
124	2536	7609
125	2562	7604
126	2582	7583
127	2601	7559
128	2622	7543
