ID,Sex,Bachelor,Age,Graduated,Career,Work Experience,Family Expenses,Family  Size,Variable,Segmentation,Description
1462220581,Male,No,41,Yes,Fashion Designer,2,Low,3,Dog_6,Akshat,The specimen is reliable and experienced.
1462220232,Female,Yes,38,Yes,HR,0,Average,2,Dog_6,Akshat,The specimen is reliable and experienced.
1462226544,Male,Yes,41,Yes,Fashion Designer,0,High,5,Dog_6,Bhavesh,The specimen is reliable and experienced.
1462224171,Male,No,21,No,Doctor,0,Low,4,Dog_6,Darsh,The specimen is responsible and hardworking.
1462226427,Female,No,37,Yes,Fashion Designer,0,Low,1,Dog_2,Bhavesh,The specimen is reliable and experienced.
1462225420,Female,Yes,89,Yes,Lawyer,0,High,2,Dog_6,Chaitanya,The specimen is reliable and experienced.
1462220348,Male,Yes,30,No,Fashion Designer,9,High,6,Dog_2,Akshat,The specimen is reliable and experienced.
1462220780,Male,No,31,Yes,,7,Low,1,Dog_4,Akshat,The specimen is reliable and experienced.
1462219082,Male,No,33,No,Scientist,1,Low,4,Dog_4,Chaitanya,The specimen is reliable and experienced.
1462218645,Female,No,32,No,Doctor,1,Low,5,,Chaitanya,The specimen is reliable and experienced.
1462224874,Male,Yes,28,Yes,Scientist,0,Low,9,Dog_4,Darsh,The specimen is responsible and hardworking.
1462220631,Female,No,,Yes,Fashion Designer,6,Low,1,Dog_6,Bhavesh,The specimen is reliable and experienced.
1462225031,Female,No,33,Yes,Doctor,1,Low,5,Dog_6,Chaitanya,The specimen is reliable and experienced.
1462224589,Female,Yes,47,Yes,Fashion Designer,1,Average,2,Dog_7,Chaitanya,The specimen is reliable and experienced.
1462221738,Female,Yes,52,Yes,Fashion Designer,8,Average,4,Dog_6,Akshat,The specimen is reliable and experienced.
1462226287,Male,Yes,74,Yes,Lawyer,1,Low,1,Dog_6,Darsh,The specimen is reliable and experienced.
1462225616,Male,Yes,77,Yes,Fashion Designer,1,Low,1,Dog_6,Akshat,The specimen is reliable and experienced.
1462218601,Female,Yes,37,Yes,Fashion Designer,1,High,2,Dog_7,Akshat,The specimen is reliable and experienced.
1462224636,Male,No,35,No,Doctor,,Low,1,Dog_4,Darsh,The specimen is reliable and experienced.
1462222048,Female,Yes,73,No,Lawyer,1,High,2,Dog_6,Akshat,The specimen is reliable and experienced.
1462223591,Female,Yes,67,Yes,Singer,1,Low,,Dog_6,Akshat,The specimen is reliable and experienced.
1462219953,Female,No,27,Yes,Fashion Designer,0,Low,3,Dog_6,Chaitanya,The specimen is responsible and hardworking.
1462218741,Male,Yes,18,No,HR,0,High,4,Dog_6,Akshat,The specimen is rather joyful than responsible.
1462221049,Male,Yes,42,Yes,Fashion Designer,9,Average,3,Dog_6,Bhavesh,The specimen is reliable and experienced.
1462223809,Male,Yes,36,No,Singer,,Low,2,Dog_6,Akshat,The specimen is reliable and experienced.
1462223372,Male,Yes,49,Yes,Fashion Designer,1,Low,2,Dog_6,Chaitanya,The specimen is reliable and experienced.
1462224635,Male,No,42,Yes,Fashion Designer,8,Low,,Dog_6,Akshat,The specimen is reliable and experienced.
1462220427,Female,Yes,27,Yes,Content Creation,11,Average,2,Dog_6,Akshat,The specimen is responsible and hardworking.
1462223003,Female,No,25,No,Housewife,0,Low,3,Dog_2,Chaitanya,The specimen is responsible and hardworking.
1462221698,Female,Yes,58,Yes,Fashion Designer,1,Average,2,Dog_6,Chaitanya,The specimen is reliable and experienced.
1462226530,Female,Yes,32,,,9,Low,4,Dog_6,Darsh,The specimen is reliable and experienced.
1462221719,Female,No,33,No,Scientist,1,Low,3,Dog_6,Darsh,The specimen is reliable and experienced.
1462223526,Male,No,59,Yes,Singer,1,Low,1,Dog_6,Chaitanya,The specimen is reliable and experienced.
1462226276,Male,No,53,,Fashion Designer,0,Low,1,Dog_6,Bhavesh,The specimen is reliable and experienced.
1462223964,Male,No,33,Yes,Scientist,,Low,4,Dog_6,Darsh,The specimen is reliable and experienced.
1462226035,Male,Yes,61,Yes,Lawyer,1,High,2,Dog_6,Chaitanya,The specimen is reliable and experienced.
1462219334,Female,Yes,65,Yes,Lawyer,0,High,3,Dog_6,Bhavesh,The specimen is reliable and experienced.
1462225081,Female,Yes,86,No,Lawyer,0,High,2,Dog_6,Bhavesh,The specimen is reliable and experienced.
1462221378,Male,Yes,81,Yes,HR,1,High,3,Dog_6,Chaitanya,The specimen is reliable and experienced.
1462220293,Male,No,30,No,HR,1,Low,2,Dog_6,Darsh,The specimen is reliable and experienced.
1462224031,Male,No,23,No,Doctor,0,Low,4,Dog_3,Darsh,The specimen is responsible and hardworking.
1462224094,Male,No,26,Yes,Scientist,0,Low,5,Dog_6,Darsh,The specimen is responsible and hardworking.
1462221594,Male,Yes,72,Yes,Fashion Designer,0,Average,2,Dog_6,Bhavesh,The specimen is reliable and experienced.
1462226201,Female,Yes,50,Yes,Scientist,0,Low,3,Dog_6,Chaitanya,The specimen is reliable and experienced.
1462220539,Female,Yes,39,Yes,Housewife,,Average,3,Dog_3,Akshat,The specimen is reliable and experienced.
1462222326,Male,Yes,49,Yes,Fashion Designer,1,Low,1,Dog_6,Akshat,The specimen is reliable and experienced.
1462226061,Male,No,28,Yes,Scientist,1,Low,9,Dog_4,Bhavesh,The specimen is responsible and hardworking.
1462223386,Male,Yes,30,No,HR,4,High,4,Dog_3,Darsh,The specimen is reliable and experienced.
1462220164,Male,Yes,55,Yes,Singer,1,Low,3,Dog_6,Akshat,The specimen is reliable and experienced.
1462223042,Male,Yes,36,Yes,Fashion Designer,4,Low,1,Dog_6,Akshat,The specimen is reliable and experienced.
1462225079,Female,Yes,81,No,Lawyer,,High,2,Dog_6,Bhavesh,The specimen is reliable and experienced.
1462223411,Male,Yes,51,Yes,Fashion Designer,5,Average,4,Dog_6,Chaitanya,The specimen is reliable and experienced.
1462222634,Female,No,28,No,Doctor,7,Low,4,Dog_6,Darsh,The specimen is responsible and hardworking.
1462219443,Female,Yes,78,No,Lawyer,1,High,2,Dog_4,Bhavesh,The specimen is reliable and experienced.
1462220559,Female,No,43,Yes,Singer,1,Low,4,Dog_4,Akshat,The specimen is reliable and experienced.
1462221981,Male,No,39,Yes,Fashion Designer,11,Low,1,Dog_7,Akshat,The specimen is reliable and experienced.
1462220250,Male,Yes,59,Yes,Fashion Designer,1,Average,3,Dog_6,Chaitanya,The specimen is reliable and experienced.
1462222910,Female,No,33,Yes,Fashion Designer,10,Low,1,Dog_7,Akshat,The specimen is reliable and experienced.
1462224142,Female,Yes,52,Yes,Scientist,0,High,5,Dog_6,Bhavesh,The specimen is reliable and experienced.
1462223692,Female,No,39,Yes,Scientist,0,Low,4,Dog_6,Chaitanya,The specimen is reliable and experienced.
1462225571,Male,Yes,41,Yes,,0,Low,2,Dog_7,Darsh,The specimen is reliable and experienced.
1462223168,Female,No,26,Yes,Housewife,9,Low,1,Dog_2,Darsh,The specimen is responsible and hardworking.
1462219790,Male,No,19,No,Doctor,0,Low,4,Dog_6,Darsh,The specimen is rather joyful than responsible.
1462218935,Male,Yes,85,No,Lawyer,,Low,1,Dog_6,Darsh,The specimen is reliable and experienced.
1462219622,Male,No,33,Yes,Content Creation,0,Low,4,Dog_2,Darsh,The specimen is reliable and experienced.
1462221491,Female,Yes,45,Yes,Housewife,8,High,4,Dog_6,Bhavesh,The specimen is reliable and experienced.
1462218989,Male,No,18,No,Doctor,1,Low,2,Dog_6,Darsh,The specimen is rather joyful than responsible.
1462219476,Female,No,36,No,Scientist,0,Low,1,Dog_6,Akshat,The specimen is reliable and experienced.
1462225097,Female,Yes,60,No,Scientist,1,Average,5,Dog_4,Bhavesh,The specimen is reliable and experienced.
1462224425,Male,Yes,38,Yes,Scientist,3,Average,2,Dog_6,Chaitanya,The specimen is reliable and experienced.
1462222666,Female,Yes,51,Yes,Scientist,6,Average,2,Dog_6,Chaitanya,The specimen is reliable and experienced.
1462226345,Female,No,23,No,Content Creation,0,Low,4,Dog_6,Darsh,The specimen is responsible and hardworking.
1462225367,Female,No,53,Yes,Fashion Designer,1,Low,1,Dog_6,Bhavesh,The specimen is reliable and experienced.
1462224011,Female,Yes,30,No,Scientist,0,Average,2,Dog_6,Darsh,The specimen is reliable and experienced.
1462222144,Female,No,68,No,,2,Low,3,Dog_7,Darsh,The specimen is reliable and experienced.
1462220195,Male,Yes,46,Yes,Fashion Designer,1,Average,3,Dog_6,Chaitanya,The specimen is reliable and experienced.
1462218605,Female,No,28,Yes,Doctor,1,Low,3,Dog_3,Darsh,The specimen is responsible and hardworking.
1462223233,Female,No,26,No,Doctor,3,Low,,Dog_6,Darsh,The specimen is responsible and hardworking.
1462219805,Female,Yes,30,No,Fashion Designer,0,Average,2,Dog_1,Bhavesh,The specimen is reliable and experienced.
1462219447,Female,No,37,Yes,Scientist,7,Low,,Dog_6,Akshat,The specimen is reliable and experienced.
1462222401,Male,Yes,30,Yes,Fashion Designer,0,Average,2,Dog_6,Bhavesh,The specimen is reliable and experienced.
1462221809,Female,Yes,42,No,Housewife,8,Average,4,Dog_3,Chaitanya,The specimen is reliable and experienced.
1462219829,Female,No,35,Yes,Doctor,,Low,1,Dog_4,Darsh,The specimen is reliable and experienced.
1462220579,Male,No,30,No,Scientist,1,Low,4,Dog_6,Darsh,The specimen is reliable and experienced.
1462222346,Female,No,43,No,Content Creation,10,Low,,Dog_3,Darsh,The specimen is reliable and experienced.
1462224657,Female,No,26,No,Scientist,1,Low,4,Dog_2,Darsh,The specimen is responsible and hardworking.
1462223924,Male,Yes,25,No,Fashion Designer,1,Average,4,Dog_4,Bhavesh,The specimen is responsible and hardworking.
1462223492,Male,Yes,82,Yes,Lawyer,0,High,2,Dog_6,Chaitanya,The specimen is reliable and experienced.
1462220586,Male,No,26,No,Doctor,,Low,,Dog_5,Darsh,The specimen is responsible and hardworking.
1462226206,Female,Yes,61,No,Lawyer,0,High,3,Dog_6,Darsh,The specimen is reliable and experienced.
1462218652,Male,Yes,48,Yes,Fashion Designer,3,Low,5,Dog_6,Bhavesh,The specimen is reliable and experienced.
1462221010,Male,No,52,Yes,Fashion Designer,1,Low,1,Dog_6,Bhavesh,The specimen is reliable and experienced.
1462219607,Female,No,28,Yes,Content Creation,2,NAN,3,Dog_6,Darsh,The specimen is responsible and hardworking.
1462223879,Male,Yes,67,Yes,Fashion Designer,1,Average,2,Dog_6,Chaitanya,The specimen is reliable and experienced.
1462219036,Female,No,31,Yes,Doctor,1,Low,1,Dog_6,Darsh,The specimen is reliable and experienced.
1462222402,Female,Yes,40,Yes,Scientist,0,Low,1,Dog_2,Akshat,The specimen is reliable and experienced.
1462226116,Male,No,26,Yes,Fashion Designer,5,Low,1,Dog_1,Bhavesh,The specimen is responsible and hardworking.
1462219173,Female,No,30,No,Scientist,0,Low,4,Dog_6,Darsh,The specimen is reliable and experienced.
1462219244,Female,Yes,85,Yes,Lawyer,0,High,2,Dog_6,Akshat,The specimen is reliable and experienced.
1462222733,Female,No,42,Yes,Fashion Designer,0,Low,2,Dog_1,Bhavesh,The specimen is reliable and experienced.
1462220655,Male,No,36,No,HR,0,Low,3,Dog_6,Darsh,The specimen is reliable and experienced.
1462220652,,Yes,74,No,Lawyer,1,High,2,Dog_6,Chaitanya,The specimen is reliable and experienced.
1462224923,Male,Yes,35,Yes,Fashion Designer,1,Average,3,Dog_6,Bhavesh,The specimen is reliable and experienced.
